"model_name","spatial_component","temporal_component","complexity_score","dic","waic","marginal_likelihood","mean_cpo","failure_rate","runtime","fit_success","model_type","waic_rank","dic_rank","waic_per_complexity","waic_improvement","relative_improvement","parsimony_score"
"independent_none","independent","none",1,11230.9384406945,11233.4609471233,-5685.74661908733,0.509560952120092,0.00160427807486631,10.8192648887634,TRUE,"single_component",35,35,11233.4609471233,1346.07659049989,10.7005252496287,11243.4609471233
"independent_cyclic","independent","cyclic",3,11232.5207513372,11235.7827126404,-5699.35680933427,0.50953968428517,0.00160427807486631,10.0439779758453,TRUE,"separable",36,36,3745.26090421345,1343.75482498282,10.6820685654292,11265.7827126404
"none_rw1","none","rw1",2,12396.0584178355,12417.8862439016,-6226.28988536598,0.455492810058091,0.0053475935828877,10.7733309268951,TRUE,"single_component",37,38,6208.94312195081,161.651293721563,1.2850336766204,12437.8862439016
"none_ar1","none","ar1",2,12394.0381996895,12421.9001656908,-6227.94966507187,0.455296353954139,0.00499108734402852,9.29370808601379,TRUE,"single_component",38,37,6210.95008284541,157.637371932356,1.25312533517938,12441.9001656908
"none_rw2","none","rw2",3,12424.9063890813,12432.3549227876,-6235.1345475757,0.455201432595309,0.00516934046345811,10.7962608337402,TRUE,"single_component",39,39,4144.11830759588,147.182614835543,1.17001610270128,12462.3549227876
"none_yearly","none","yearly",1,12446.8686384577,12452.3189479001,-6243.13396281491,0.454848491195426,0.0053475935828877,10.9583239555359,TRUE,"single_component",40,40,12452.3189479001,127.218589723094,1.01131372550545,12462.3189479001
"none_quadratic","none","quadratic",2,12471.7196096655,12473.491322066,-6263.45130877206,0.454401190894584,0.00570409982174688,8.22883081436157,TRUE,"single_component",41,41,6236.745661033,106.046215557188,0.843005676798707,12493.491322066
"none_linear","none","linear",1,12573.0048931213,12574.3462451079,-6300.87624396862,0.45292423823462,0.00588235294117647,8.09584593772888,TRUE,"single_component",42,42,12574.3462451079,5.19129251529739,0.041267753284023,12584.3462451079
"none_monthly","none","monthly",2,12574.6402890312,12576.2124407939,-6292.65710822722,0.452841690583519,0.00588235294117647,10.9899702072144,TRUE,"single_component",43,43,6288.10622039695,3.32509682927412,0.0264325840224995,12596.2124407939
"none_cyclic","none","cyclic",2,12576.9975414362,12579.5375376232,-6305.54162852099,0.452842542772164,0.00588235294117647,8.23167991638184,TRUE,"single_component",44,44,6289.76876881159,0,0,12599.5375376232
